MSSV,Student_Profile,Current_Semester,GPA_Cumulative,Total_Credits,Credits_Completed,Credits_Remaining,Completion_Rate,Average_Credits_Per_Semester,Remaining_To_OJT,Failed_Courses,Retake_Count,Missing_Prerequisite_Courses,Academic_Warning_Count,Suspension_Count,Planned_OJT_Semester,Risk_Score,Risk_Level,OJT_Delay_Risk,OJT_Eligible,OJT_Readiness,AI_Recommendation,Credit_Progress_Category,OJT_Credit_Gap,OJT_Credit_Progress,OJT_Eligibility_Gap_Category,Academic_Risk_Index,Academic_Stability,OJT_Semester_Gap,OJT_Planning_Status,Required_Average_Credits_Per_Semester,Credit_Completion_Efficiency
SE1800001,Average,1,6.27,120,17,103,14.17,17.0,83,1,1,2,0,0,5,9,Medium,0,False,31.5,Complete at least 83 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Early,83,17.0,Far_From_Eligible,4,60,4,Long_Term_Planning,20.75,100.0
SE1800002,Excellent,3,9.26,120,54,66,45.0,18.0,46,0,0,0,0,0,5,3,Low,0,False,67.0,Complete at least 46 more credits.,Developing,46,54.0,Moderate_Gap,0,100,2,Moderate_Planning_Gap,23.0,100.0
SE1800003,AtRisk,3,5.42,120,40,80,33.33,13.33,60,3,4,2,1,0,6,15,High,1,False,26.0,Complete at least 60 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,60,40.0,Far_From_Eligible,10,0,3,Long_Term_Planning,20.0,100.0
SE1800004,Excellent,6,9.41,120,105,15,87.5,17.5,0,0,0,0,0,0,7,0,Low,0,True,92.5,You are ready for OJT.,Near_Completion,0,100.0,Eligible,0,100,1,Approaching_OJT,0.0,100.0
SE1800005,Average,5,6.05,120,87,33,72.5,17.4,13,2,1,0,0,0,7,4,Low,0,False,75.5,Complete at least 13 more credits. Retake failed courses as soon as possible.,Advanced,13,87.0,Near_Eligible,3,70,2,Moderate_Planning_Gap,6.5,100.0
SE1800006,Average,6,6.16,120,103,17,85.83,17.17,0,1,3,2,0,0,6,7,Medium,0,False,70.5,Complete all prerequisite courses. Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,6,40,0,OJT_Ready_Stage,0.0,99.98
SE1800007,Good,4,8.47,120,78,42,65.0,19.5,22,0,2,1,0,0,5,5,Low,0,False,69.0,Complete at least 22 more credits. Complete all prerequisite courses.,Advanced,22,78.0,Moderate_Gap,3,70,1,Approaching_OJT,22.0,100.0
SE1800008,AtRisk,4,5.07,120,68,52,56.67,17.0,32,5,5,1,2,1,6,19,High,1,False,25.0,Complete at least 32 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,32,68.0,Moderate_Gap,14,0,2,Moderate_Planning_Gap,16.0,100.0
SE1800009,Good,2,8.11,120,42,78,35.0,21.0,58,1,2,1,0,0,5,7,Medium,0,False,48.0,Complete at least 58 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,58,42.0,Far_From_Eligible,4,60,3,Long_Term_Planning,19.33,100.0
SE1800010,LateStarter,2,6.69,120,34,86,28.33,17.0,66,2,2,0,0,0,5,6,Medium,0,False,47.0,Complete at least 66 more credits. Retake failed courses as soon as possible.,Early,66,34.0,Far_From_Eligible,4,60,3,Long_Term_Planning,22.0,100.0
SE1800011,Good,5,7.7,120,92,28,76.67,18.4,8,0,2,0,0,0,6,2,Low,0,False,82.0,Complete at least 8 more credits.,Advanced,8,92.0,Near_Eligible,2,80,1,Approaching_OJT,8.0,100.0
SE1800012,Good,3,7.0,120,61,59,50.83,20.33,39,1,2,0,0,0,5,5,Low,0,False,63.5,Complete at least 39 more credits. Retake failed courses as soon as possible.,Developing,39,61.0,Moderate_Gap,3,70,2,Moderate_Planning_Gap,19.5,100.0
SE1800013,Good,5,7.8,120,100,20,83.33,20.0,0,0,2,1,0,0,6,3,Low,0,False,80.0,Complete all prerequisite courses.,Near_Completion,0,100.0,Eligible,3,70,1,Approaching_OJT,0.0,100.0
SE1800014,Recovery,6,6.63,120,94,26,78.33,15.67,6,1,2,0,0,0,7,4,Low,0,False,80.0,Complete at least 6 more credits. Retake failed courses as soon as possible.,Advanced,6,94.0,Near_Eligible,3,70,1,Approaching_OJT,6.0,99.98
SE1800015,AtRisk,8,5.53,120,104,16,86.67,13.0,0,3,6,3,1,1,8,16,High,1,False,40.0,Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Near_Completion,0,100.0,Eligible,14,0,0,OJT_Ready_Stage,0.0,100.0
SE1800016,Average,5,6.95,120,86,34,71.67,17.2,14,3,3,1,1,0,7,10,Medium,0,False,57.0,Complete at least 14 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,14,86.0,Near_Eligible,8,20,2,Moderate_Planning_Gap,7.0,100.0
SE1800017,Good,3,7.5,120,59,61,49.17,19.67,41,0,2,0,0,0,5,4,Low,0,False,65.5,Complete at least 41 more credits.,Developing,41,59.0,Moderate_Gap,2,80,2,Moderate_Planning_Gap,20.5,99.98
SE1800018,Good,7,8.28,120,109,11,90.83,15.57,0,0,1,1,0,0,8,3,Low,0,False,86.5,Complete all prerequisite courses.,Near_Completion,0,100.0,Eligible,2,80,1,Approaching_OJT,0.0,100.0
SE1800019,AtRisk,6,5.57,120,89,31,74.17,14.83,11,4,6,1,1,0,7,13,High,1,False,49.5,Complete at least 11 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,11,89.0,Near_Eligible,12,0,1,Approaching_OJT,11.0,100.0
SE1800020,Good,4,8.29,120,68,52,56.67,17.0,32,0,0,1,0,0,5,5,Low,0,False,68.0,Complete at least 32 more credits. Complete all prerequisite courses.,Developing,32,68.0,Moderate_Gap,1,90,1,Approaching_OJT,32.0,100.0
SE1800021,Good,4,7.21,120,70,50,58.33,17.5,30,1,1,0,0,0,5,4,Low,0,False,70.0,Complete at least 30 more credits. Retake failed courses as soon as possible.,Developing,30,70.0,Moderate_Gap,2,80,1,Approaching_OJT,30.0,100.0
SE1800022,Excellent,8,9.75,120,115,5,95.83,14.38,0,0,0,0,0,0,8,0,Low,0,True,97.5,You are ready for OJT.,Near_Completion,0,100.0,Eligible,0,100,0,OJT_Ready_Stage,0.0,99.97
SE1800023,Good,4,7.09,120,74,46,61.67,18.5,26,0,1,1,0,0,6,5,Low,0,False,69.0,Complete at least 26 more credits. Complete all prerequisite courses.,Advanced,26,74.0,Moderate_Gap,2,80,2,Moderate_Planning_Gap,13.0,100.0
SE1800024,Average,5,6.78,120,95,25,79.17,19.0,5,1,2,1,0,0,6,6,Medium,0,False,74.5,Complete at least 5 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,5,95.0,Near_Eligible,4,60,1,Approaching_OJT,5.0,100.0
SE1800025,AtRisk,2,5.58,120,32,88,26.67,16.0,68,5,4,1,1,0,5,15,High,1,False,22.0,Complete at least 68 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Early,68,32.0,Far_From_Eligible,11,0,3,Long_Term_Planning,22.67,100.0
SE1800026,Average,5,6.23,120,83,37,69.17,16.6,17,3,2,2,0,0,7,9,Medium,0,False,56.5,Complete at least 17 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,17,83.0,Near_Eligible,7,30,2,Moderate_Planning_Gap,8.5,100.0
SE1800027,Average,5,6.31,120,88,32,73.33,17.6,12,1,3,0,1,0,6,7,Medium,0,False,70.0,Complete at least 12 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,12,88.0,Near_Eligible,5,50,1,Approaching_OJT,12.0,100.0
