Current_Semester,GPA_Cumulative,Total_Credits,Credits_Completed,Credits_Remaining,Completion_Rate,Average_Credits_Per_Semester,Remaining_To_OJT,Failed_Courses,Retake_Count,Missing_Prerequisite_Courses,Academic_Warning_Count,Suspension_Count,Planned_OJT_Semester,OJT_Eligible,OJT_Readiness,Credit_Progress_Category,OJT_Credit_Gap,OJT_Credit_Progress,OJT_Eligibility_Gap_Category,Academic_Risk_Index,Academic_Stability,OJT_Semester_Gap,OJT_Planning_Status,Required_Average_Credits_Per_Semester,Credit_Completion_Efficiency
6,6.93,120,92,28,76.67,15.33,8,2,3,1,1,0,7,False,63.0,Advanced,8,92,Near_Eligible,7,30,1,Approaching_OJT,8.0,100.0
4,8.18,120,71,49,59.17,17.75,29,0,1,1,0,0,6,False,67.5,Developing,29,71,Moderate_Gap,2,80,2,Moderate_Planning_Gap,14.5,100.0
2,6.52,120,41,79,34.17,20.5,59,2,3,2,1,0,5,False,31.5,Developing,59,41,Far_From_Eligible,8,20,3,Long_Term_Planning,19.67,100.0
4,6.88,120,72,48,60.0,18.0,28,2,4,1,1,0,6,False,51.0,Advanced,28,72,Moderate_Gap,8,20,2,Moderate_Planning_Gap,14.0,100.0
4,6.54,120,69,51,57.5,17.25,31,3,3,2,1,0,5,False,42.5,Developing,31,69,Moderate_Gap,9,10,1,Approaching_OJT,31.0,100.0
3,7.33,120,55,65,45.83,18.33,45,1,2,1,0,0,6,False,54.5,Developing,45,55,Moderate_Gap,4,60,3,Long_Term_Planning,15.0,100.0
6,7.15,120,102,18,85.0,17.0,0,4,3,2,0,0,7,False,61.0,Near_Completion,0,100,Eligible,9,10,1,Approaching_OJT,0.0,100.0
3,4.99,120,29,91,24.17,9.67,71,7,6,3,3,2,5,False,0.0,Early,71,29,Far_From_Eligible,21,0,2,Moderate_Planning_Gap,35.5,99.97
7,5.71,120,107,13,89.17,15.29,0,3,6,3,1,1,8,False,41.5,Near_Completion,0,100,Eligible,14,0,1,Approaching_OJT,0.0,99.97
4,6.49,120,72,48,60.0,18.0,28,3,3,1,1,0,5,False,50.0,Advanced,28,72,Moderate_Gap,8,20,1,Approaching_OJT,28.0,100.0
4,6.42,120,71,49,59.17,17.75,29,1,3,2,1,0,6,False,49.5,Developing,29,71,Moderate_Gap,7,30,2,Moderate_Planning_Gap,14.5,100.0
1,7.13,120,12,108,10.0,12.0,88,2,2,0,1,0,5,False,31.0,Early,88,12,Far_From_Eligible,5,50,4,Long_Term_Planning,22.0,100.0
4,7.16,120,79,41,65.83,19.75,21,1,1,1,0,0,6,False,68.5,Advanced,21,79,Moderate_Gap,3,70,2,Moderate_Planning_Gap,10.5,100.0
5,6.28,120,85,35,70.83,17.0,15,1,3,2,1,0,6,False,56.5,Advanced,15,85,Near_Eligible,7,30,1,Approaching_OJT,15.0,100.0
4,5.44,120,63,57,52.5,15.75,37,4,4,1,2,1,6,False,27.5,Developing,37,63,Moderate_Gap,12,0,2,Moderate_Planning_Gap,18.5,100.0
3,7.63,120,63,57,52.5,21.0,37,1,0,1,0,0,6,False,62.5,Developing,37,63,Moderate_Gap,2,80,3,Long_Term_Planning,12.33,100.0
3,5.79,120,36,84,30.0,12.0,64,3,6,1,1,0,5,False,26.0,Developing,64,36,Far_From_Eligible,11,0,2,Moderate_Planning_Gap,32.0,100.0
6,6.64,120,105,15,87.5,17.5,0,3,1,0,1,0,6,True,76.5,Near_Completion,0,100,Eligible,5,50,0,OJT_Ready_Stage,0.0,100.0
5,7.03,120,80,40,66.67,16.0,20,3,4,1,0,0,6,False,57.0,Advanced,20,80,Near_Eligible,8,20,1,Approaching_OJT,20.0,100.0
4,6.33,120,70,50,58.33,17.5,30,3,1,1,1,0,6,False,53.0,Developing,30,70,Moderate_Gap,6,40,2,Moderate_Planning_Gap,15.0,100.0
3,6.72,120,48,72,40.0,16.0,52,1,4,2,0,0,5,False,41.0,Developing,52,48,Far_From_Eligible,7,30,2,Moderate_Planning_Gap,26.0,100.0
5,5.47,120,69,51,57.5,13.8,31,4,3,3,1,0,6,False,33.5,Developing,31,69,Moderate_Gap,11,0,1,Approaching_OJT,31.0,100.0
6,6.3,120,96,24,80.0,16.0,4,4,3,0,1,0,6,False,65.0,Near_Completion,4,96,Near_Eligible,8,20,0,OJT_Ready_Stage,4.0,100.0
7,7.75,120,108,12,90.0,15.43,0,1,1,0,0,0,8,True,89.0,Near_Completion,0,100,Eligible,2,80,1,Approaching_OJT,0.0,99.99
5,9.98,120,101,19,84.17,20.2,0,0,0,0,0,0,6,True,90.5,Near_Completion,0,100,Eligible,0,100,1,Approaching_OJT,0.0,100.0
7,6.64,120,100,20,83.33,14.29,0,3,2,1,0,0,8,False,71.0,Near_Completion,0,100,Eligible,6,40,1,Approaching_OJT,0.0,99.97
5,4.86,120,72,48,60.0,14.4,28,8,7,3,3,2,6,False,0.0,Advanced,28,72,Moderate_Gap,23,0,1,Approaching_OJT,28.0,100.0
5,6.21,120,86,34,71.67,17.2,14,1,1,1,1,0,6,False,67.0,Advanced,14,86,Near_Eligible,4,60,1,Approaching_OJT,14.0,100.0
1,7.8,120,20,100,16.67,20.0,80,0,0,1,0,0,5,False,44.0,Early,80,20,Far_From_Eligible,1,90,4,Long_Term_Planning,20.0,100.0
5,5.17,120,80,40,66.67,16.0,20,3,4,1,1,0,6,False,52.0,Advanced,20,80,Near_Eligible,9,10,1,Approaching_OJT,20.0,100.0
5,7.48,120,88,32,73.33,17.6,12,0,0,1,0,0,6,False,78.0,Advanced,12,88,Near_Eligible,1,90,1,Approaching_OJT,12.0,100.0
4,7.0,120,58,62,48.33,14.5,42,4,2,0,0,0,5,False,53.0,Developing,42,58,Moderate_Gap,6,40,1,Approaching_OJT,42.0,100.0
3,7.24,120,57,63,47.5,19.0,43,1,0,1,0,0,6,False,59.5,Developing,43,57,Moderate_Gap,2,80,3,Long_Term_Planning,14.33,100.0
4,5.62,120,54,66,45.0,13.5,46,3,6,2,2,1,5,False,16.0,Developing,46,54,Moderate_Gap,14,0,1,Approaching_OJT,46.0,100.0
5,6.0,120,82,38,68.33,16.4,18,2,3,2,0,0,7,False,57.0,Advanced,18,82,Near_Eligible,7,30,2,Moderate_Planning_Gap,9.0,100.0
4,8.91,120,76,44,63.33,19.0,24,0,0,0,0,0,5,False,78.0,Advanced,24,76,Moderate_Gap,0,100,1,Approaching_OJT,24.0,100.0
8,8.01,120,114,6,95.0,14.25,0,0,0,1,0,0,8,False,91.0,Near_Completion,0,100,Eligible,1,90,0,OJT_Ready_Stage,0.0,100.0
6,6.12,120,99,21,82.5,16.5,1,1,1,0,0,0,7,False,84.5,Near_Completion,1,99,Near_Eligible,2,80,1,Approaching_OJT,1.0,100.0
2,9.11,120,40,80,33.33,20.0,60,0,0,0,0,0,5,False,60.0,Developing,60,40,Far_From_Eligible,0,100,3,Long_Term_Planning,20.0,100.0
6,6.13,120,98,22,81.67,16.33,2,1,4,0,1,0,7,False,73.0,Near_Completion,2,98,Near_Eligible,6,40,1,Approaching_OJT,2.0,100.0
3,9.0,120,62,58,51.67,20.67,38,0,0,0,0,0,6,False,71.0,Developing,38,62,Moderate_Gap,0,100,3,Long_Term_Planning,12.67,99.98
3,5.7,120,46,74,38.33,15.33,54,4,4,1,1,1,5,False,24.0,Developing,54,46,Far_From_Eligible,11,0,2,Moderate_Planning_Gap,27.0,100.0
6,6.21,120,94,26,78.33,15.67,6,2,1,2,0,0,7,False,67.0,Advanced,6,94,Near_Eligible,5,50,1,Approaching_OJT,6.0,99.98
4,6.68,120,60,60,50.0,15.0,40,3,2,1,0,0,6,False,51.0,Developing,40,60,Moderate_Gap,6,40,2,Moderate_Planning_Gap,20.0,100.0
1,5.85,120,14,106,11.67,14.0,86,3,3,2,2,1,5,False,2.0,Early,86,14,Far_From_Eligible,11,0,4,Long_Term_Planning,21.5,100.0
3,5.86,120,49,71,40.83,16.33,51,3,6,2,2,1,5,False,13.5,Developing,51,49,Far_From_Eligible,14,0,2,Moderate_Planning_Gap,25.5,100.0
6,8.97,120,112,8,93.33,18.67,0,0,0,0,0,0,7,True,96.0,Near_Completion,0,100,Eligible,0,100,1,Approaching_OJT,0.0,99.98
1,6.38,120,18,102,15.0,18.0,82,3,3,0,0,0,6,False,34.0,Early,82,18,Far_From_Eligible,6,40,5,Long_Term_Planning,16.4,100.0
6,8.17,120,104,16,86.67,17.33,0,1,1,0,0,0,6,True,87.0,Near_Completion,0,100,Eligible,2,80,0,OJT_Ready_Stage,0.0,100.0
